"","id_project","id_req","id_frame","id_task","desc_frameFam","num_estimate","num_estDur","num_actDur","num_logError"
"1","F7373G1","FK8X","32F","0010","3/2A-K",26.6812722007733,27,1,3.28396190359775
"2","F6774G3","FS6A","32J","0010","3/2A-K",26.6812722007733,27,167,-1.83403190881901
"3","F6774G3","FS2T","32J","0010","3/2A-K",26.6812722007733,27,167,-1.83403190881901
"4","F6774G3","FT1R","32J","0010","3/2A-K",26.6812722007733,27,167,-1.83403190881901
"5","F6774G3","FS2Y","32J","0010","3/2A-K",26.6812722007733,27,167,-1.83403190881901
"6","F6774G3","FT7J","32J","0010","3/2A-K",26.6812722007733,27,167,-1.83403190881901
"7","F5578G3","FK8X","51D","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"8","F6968G2","FK2C","51LA","0010","5/1A-RN",25.7180579847728,22,1,3.24719339048342
"10","F7083G4","FZ1Z","51LA","0010","5/1A-RN",25.7180579847728,27,2,2.55404620992348
"11","F7426G1","FS1T","51M","0010","5/1A-RN",25.7180579847728,27,38,-0.390392769242963
"13","F7377G1","FZ1Z","51N","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"14","F6968G2","FK2C","51N","0010","5/1A-RN",25.7180579847728,22,1,3.24719339048342
"17","F7393G9","FK8X","51P","0010","5/1A-RN",25.7180579847728,27,92,-1.27459518656562
"18","F6424G24","FS4C","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"19","F7091G2","FT7J","51P","0010","5/1A-RN",25.7180579847728,27,2,2.55404620992348
"20","F7393G17","FG1A","51P","0010","5/1A-RN",25.7180579847728,27,7,1.30128324142811
"21","F7091G2","FJ2L","51P","0010","5/1A-RN",25.7180579847728,27,2,2.55404620992348
"22","F5877G3","FK8X","51P","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"23","F7393G2","FA1J","51P","0010","5/1A-RN",25.7180579847728,27,91,-1.26366611603343
"25","F6424G24","FT7J","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"26","F6424G24","FS2V","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"27","F6674G1","FK5K","51P","0010","5/1A-RN",25.7180579847728,27,358,-2.63333959591728
"28","F7091G2","FD1E","51P","0010","5/1A-RN",25.7180579847728,27,2,2.55404620992348
"29","F6336G8","FZ1Z","51P","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"30","F7408G3","FS2Z","51P","0010","5/1A-RN",25.7180579847728,26,1,3.24719339048342
"31","F6424G24","FS2Y","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"32","F7393G13","FK8X","51P","0010","5/1A-RN",25.7180579847728,27,92,-1.27459518656562
"34","F6424G24","FS6A","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"35","F7408G3","FS6A","51P","0010","5/1A-RN",25.7180579847728,26,1,3.24719339048342
"36","F6503G1","FS6A","51P","0010","5/1A-RN",25.7180579847728,27,10,0.944608297489376
"37","F6424G24","FT3M","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"38","F7408G3","FS2V","51P","0010","5/1A-RN",25.7180579847728,26,1,3.24719339048342
"40","F6424G24","FS2T","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"41","F6424G24","FT3C","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"44","F7408G3","FS2T","51P","0010","5/1A-RN",25.7180579847728,26,1,3.24719339048342
"45","F7393G7","FA1J","51P","0010","5/1A-RN",25.7180579847728,27,185,-1.9731624345949
"46","F7408G3","FT7J","51P","0010","5/1A-RN",25.7180579847728,26,1,3.24719339048342
"47","F5813G3","FS6A","51P","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"48","F7485G1","FZ1Z","51P","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"49","F6674G1","FS2V","51P","0010","5/1A-RN",25.7180579847728,27,358,-2.63333959591728
"51","F6424G24","FS2Z","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"52","F7393G6","FA1J","51P","0010","5/1A-RN",25.7180579847728,27,80,-1.13483324419046
"53","F6424G24","FT8A","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
"55","F7393G5","FA1J","51P","0010","5/1A-RN",25.7180579847728,26,73,-1.04326605066497
"56","F7408G2","FS2Y","51P","0010","5/1A-RN",25.7180579847728,27,1,3.24719339048342
"57","F7145G2","FK4G","51P","0010","5/1A-RN",25.7180579847728,20,1,3.24719339048342
"58","F6336G7","FS6A","51P","0010","5/1A-RN",25.7180579847728,27,3,2.14858110181531
"59","F7393G8","FK8X","51P","0010","5/1A-RN",25.7180579847728,27,93,-1.28540610266983
"61","F7393G16","FG1A","51P","0010","5/1A-RN",25.7180579847728,27,10,0.944608297489376
"62","F6424G24","FK5N","51P","0010","5/1A-RN",25.7180579847728,24,1,3.24719339048342
