id_project,id_task,num_totalHours
F3411G3,1643,7
F3411G3,1643VD,4
F3411G3,1643VDS,7
F3411G3,557T,4
F3411G3,557TVD,14.5
F3411G3,557TVDS,5.5
F3411G3,557TVDS,5.5
F3411G3,A010PC,13.3
F3411G3,A010PC001,7.5
F3411G3,A019,8.5
F3411G3,A019VD,16
F3411G3,A019VDS,2.5
F3411G3,A019VDS,2.5
F3411G3,A042001,27
F3411G3,A042VDA,4
F3411G3,A042VDSA,5
F3411G3,A125001,1
F3411G4,0017BTE,8
F3411G4,0017CBE,3
F3411G4,0017CCE,3
F3411G4,0017CEE,3
F3411G4,0017CHE,3
F3411G4,0017CIE,2
F3411G4,0017CKE,9
F3411G4,0017HFE,8
F3411G4,0026,1
F3411G4,0086,103
F3411G4,0086AZC,2
F3411G4,0086CQC,3
F3411G4,0086F2C,3
F3411G4,0086FVC,2
F3411G4,0086FWC,3
F3411G4,0086HDC,2
F3411G4,0086HKC,3
F3411G4,0086LBC,2
F3411G4,0086LDC,3
F3411G4,0086LZC,3
F3411G4,0086NJC,8
F3411G4,0124BBE,5
F3411G4,0124BCE,5
F3411G4,0124BEE,24
F3411G4,0124BFE,9
F3411G4,0124BGE,29
F3411G4,0124BHE,4
F3411G4,0124BME,4
F3411G4,0124BPE,9
F3411G4,0124BSE,2
F3411G4,0124BXE,8
F3411G4,0124CEE,9
F3411G4,0124EWE,3
F3411G4,0124FBE,11
F3411G4,0124FCE,11
F3411G4,0124FVE,2
F3411G4,0124GBE,8
F3411G4,0124IBE,12
F3411G4,0124KAE,4
F3411G4,0124PSE,12
F3411G4,0302,27
F3411G4,0306,45
F3411G4,0313,45
F3411G4,0326,78
F3411G4,0331,37
F3411G4,0331AME,3
F3411G4,0331BBE,3
F3411G4,0331BDE,9
F3411G4,0331BEE,3
F3411G4,0331BFE,3
F3411G4,0331DDE,31
F3411G4,0331EHE,4
F3411G4,0331FNE,3
F3411G4,0331FUE,3
F3411G4,0331GCE,4
F3411G4,0401,80
F3411G4,0414CGE,9
F3411G4,0414CTE,17
F3411G4,0415,39
F3411G4,0416,9
F3411G4,0417,14.7
F3411G4,0417001,18.3
F3411G4,0418,11
F3411G4,0420,23
F3411G4,0422,46
F3411G4,0424,25
F3411G4,0425,17
F3411G4,0432,16
F3411G4,0436,26
F3411G4,0442,18
F3411G4,0445,99
F3411G4,0471,7
F3411G4,0474,35
F3411G4,0492,87
F3411G4,0507,12
F3411G4,0507VD,15
F3411G4,0509,12
F3411G4,0509VD,36
F3411G4,0513,12
F3411G4,0566,129.8113478
F3411G4,0566001,220.8510287
F3411G4,0566001,220.8510287
F3411G4,0566002,145.5413215
F3411G4,0572,21.6
F3411G4,0572001,14.4
F3411G4,0572VD,32
F3411G4,0585,18
F3411G4,0601,9
F3411G4,0601VD,2
F3411G4,0637,11
F3411G4,0701,28
F3411G4,0702,20
F3411G4,0703,26
F3411G4,0717,19
F3411G4,0719,18
F3411G4,0901,31
F3411G4,0908,59
F3411G4,0909,5
F3411G4,0910,18
F3411G4,0915,73
F3411G4,0924,16
F3411G4,0926,18
F3411G4,0956,30
F3411G4,0961,9
F3411G4,0962,358
F3411G4,0963,67
F3411G4,0965,16
F3411G4,0969,43
F3411G4,0972,18
F3411G4,0983,17
F3411G4,0987,9
F3411G4,0991,228
F3411G4,0991VD,18
F3411G4,0991VDS,7
F3411G4,1003,19
F3411G4,1003VD,2
F3411G4,1044,10
F3411G4,1103,17
F3411G4,1105,87
F3411G4,1121,11
F3411G4,1127,15
F3411G4,1213,26
F3411G4,1213VD,28
F3411G4,1214,19
F3411G4,1605,18
F3411G4,1643,72
F3411G4,1643VD,4
F3411G4,557T,42
F3411G4,557TVD,2
F3411G4,A010PC,8
F3411G4,A019,18
F3411G4,A019VD,12
F3411G4,A019VDS,3
F3411G4,A040,7
F3411G4,A041,18
F3411G4,A122,30
F3411G4,A179,18
F3411G4,A184,9
F3411G5,0086,1
F3411G5,4108,1
F3411G5,A010PC,8
F3411G5,A108VDS,4
F3411G6,0026,2
F3411G6,0026,2
F3411G6,0086,50
F3411G6,0124PSE,8
F3411G6,4108,1
F3411G6,A014VDS,3
F3411G7,0017CBE,2
F3411G7,0017CCE,4
F3411G7,0017CDE,2
F3411G7,0017CEE,4
F3411G7,0017CHE,2
F3411G7,0017CKE,3
F3411G7,0017GSE,1
F3411G7,0017HFE,7
F3411G7,0082,656
F3411G7,0082,656
F3411G7,0086,9
F3411G7,0086AXC,2
F3411G7,0086AZC,5
F3411G7,0086CKC,3.5
F3411G7,0086CQC,5
F3411G7,0086EAC,2
F3411G7,0086EBC,2
F3411G7,0086ECC,2
F3411G7,0086EQC,2
F3411G7,0086ESC,2
F3411G7,0086EYC,2
F3411G7,0086FCC,5
F3411G7,0086FOC,6
F3411G7,0086FWC,4
F3411G7,0086FXC,6
F3411G7,0086H6C,5
F3411G7,0086HCC,4
F3411G7,0086HGC,3
F3411G7,0086HYC,3
F3411G7,0086LDC,6.5
F3411G7,0086LTC,6.5
F3411G7,0086LZC,6.5
F3411G7,0086NIC,7
F3411G7,0086NJC,6
F3411G7,0086QUC,6
F3411G7,0086TXC,7.5
F3411G7,0086W8C,2
F3411G7,0124BBE,4
F3411G7,0124BGE,4
F3411G7,0124BPE,4
F3411G7,0124BXE,8
F3411G7,0124FBE,8
F3411G7,0124FCE,8
F3411G7,0124FUE,1
F3411G7,0124FVE,4
F3411G7,0124GBE,4
F3411G7,0124IBE,8
F3411G7,0306,48
F3411G7,0313,70
F3411G7,0326,68
F3411G7,0326,68
F3411G7,0331,32
F3411G7,0331ABE,2
F3411G7,0331ACE,2
F3411G7,0331ADE,1
F3411G7,0331AFE,1
F3411G7,0331AKE,2
F3411G7,0331ALE,4
F3411G7,0331AME,2
F3411G7,0331BDE,16
F3411G7,0331BEE,6
F3411G7,0331GPE,3
F3411G7,0401,30.64673913
F3411G7,0401,30.64673913
F3411G7,0401001,21.58152174
F3411G7,0414,7.05
F3411G7,0414,7.05
F3411G7,0414001,6.45
F3411G7,0414CEE,4
F3411G7,0414CKE,4
F3411G7,0414CME,4
F3411G7,0414DWE,4
F3411G7,0415,12
F3411G7,0416,18
F3411G7,0417,3
F3411G7,0418,34
F3411G7,0418,34
F3411G7,0420,6
F3411G7,0422,16
F3411G7,0424,10
F3411G7,0425,1
F3411G7,0436,65.64335664
F3411G7,0436,65.64335664
F3411G7,0436001,43.37762238
F3411G7,0436002,49.92307692
F3411G7,0445,48
F3411G7,0463,30
F3411G7,0492,12
F3411G7,0507,8
F3411G7,0507VD,2
F3411G7,0507VDS,6
F3411G7,0507VDS,6
F3411G7,0509,12
F3411G7,0509VDS,7
F3411G7,0509VDS,7
F3411G7,0513,30
F3411G7,0566,27
F3411G7,0572,4
F3411G7,0572VD,2
F3411G7,0572VDS,8
F3411G7,0572VDS,8
F3411G7,0601,12
F3411G7,0601VD,6
F3411G7,0601VDS,3
F3411G7,0703,27
F3411G7,0805,63
F3411G7,0805,63
F3411G7,0901,20
F3411G7,0908,159
F3411G7,0908,159
F3411G7,0909,151
F3411G7,0909,151
F3411G7,0910,20
F3411G7,0915,30
F3411G7,0920001,22
F3411G7,0922,16
F3411G7,0926,22
F3411G7,0961,16
F3411G7,0962,118
F3411G7,0962,118
F3411G7,0963,44
F3411G7,0969,249
F3411G7,0969,249
F3411G7,0987001,35
F3411G7,0991,20
F3411G7,0991VD,2
F3411G7,0991VDS,17
F3411G7,0991VDS,17
F3411G7,0991VDS,17
F3411G7,1003,8
F3411G7,1003VD,2
F3411G7,1003VDS,3
F3411G7,1105,139.2012195
F3411G7,1105,139.2012195
F3411G7,1105001,72.41463415
F3411G7,1121,4
F3411G7,1121VDS,13
F3411G7,1121VDS,13
F3411G7,1121VDS,13
F3411G7,1127,45
F3411G7,1127,45
F3411G7,1213,3
F3411G7,1213VDS,3
F3411G7,1643,183.509434
F3411G7,1643001,117.2830189
F3411G7,1643002,117.7924528
F3411G7,1643VD,5
F3411G7,1643VDS,4
F3411G7,557T,29
F3411G7,557TVDS,3
F3411G7,A010PC,51.5
F3411G7,A010PC,51.5
F3411G7,A019,55.5
F3411G7,A019VD,47
F3411G7,A019VDS,4
F3411G7,A125001,10
F3668G3,1302,30.5
F3668G4,1305,54
F3771G10,0017HAE,1.2
F3771G10,0017LAE,1.2
F3771G10,0100AA,1
F3771G10,0124,2.5
F3771G10,0445001,6
F3771G10,0463001,4
F3771G10,4108001,13.5
F3771G10,A010,19.38235294
F3771G10,A010ADEA,8.441176471
F3771G10,A210,50
F3771G10,A210,50
F3771G10,A286,10.53125
F3771G10,A286,10.53125
F3771G10,A286001,5.09375
F3771G10,A287,44.5
F3771G11,0100AA,1
F3771G11,0445001,8
F3771G11,0463001,3
F3771G11,4108001,3
F3771G11,A010,23.5
F3771G11,A010,23.5
F3771G11,A010PC,4
F3771G11,A210,29
F3771G11,A286,33.57142857
F3771G11,A286001,20.42857143
F3771G11,A287,1
F3771G12,1302,89
F3771G12,1303,155.5
F3771G12,1305,22
F3771G5,0017BQE,29
F3771G5,0017BQE,29
F3771G5,0017HAE,35
F3771G5,0017HAE,35
F3771G5,0017LAE,36
F3771G5,0017LAE,36
F3771G5,0017REQ,22
F3771G5,0124CTE,3
F3771G5,0124FLE,54
F3771G5,0124FLE,54
F3771G5,0301001,33.5
F3771G5,0313001,4
F3771G5,0314001,3
F3771G5,0401001,23.5
F3771G5,0404,15.5
F3771G5,0417,4.6
F3771G5,0417001,18.2
F3771G5,0445001,20.5
F3771G5,0463001,7.5
F3771G5,0702,7
F3771G5,0719,6.8
F3771G5,0805,34.5
F3771G5,0909001,207
F3771G5,1087001,46.5
F3771G5,1105001,4.5
F3771G5,A010,162.2650448
F3771G5,A010,162.2650448
F3771G5,A010001,98.63892446
F3771G5,A010002,87.08450704
F3771G5,A010CBM,2
F3771G5,A014,3.7
F3771G5,A014001,4.1
F3771G5,A014VD,30
F3771G5,A014VD,30
F3771G5,A062001,15.5
F3771G5,A122001,4.5
F3771G5,A210,146.8535714
F3771G5,A210,146.8535714
F3771G5,A210001,81.5125
F3771G6,0805,31.5
F3771G6,0805,31.5
F3771G9,0017001,0.5
F3771G9,0017HFEA,5
F3771G9,0100TCC,8.5
F3771G9,0124,8
F3771G9,0124BCE,1.5
F3771G9,0124CDE,1.5
F3771G9,0124GKE,1.5
F3771G9,0124KAE,1.5
F3771G9,0301,10
F3771G9,0401,3
F3771G9,0404,8.3
F3771G9,0414,3
F3771G9,0414ASE,1.5
F3771G9,0414CKE,10.5
F3771G9,0414CKEA,5.5
F3771G9,0417,10
F3771G9,0445,1
F3771G9,0463,2
F3771G9,0805,30
F3771G9,1087,1
F3771G9,1105,8
F3771G9,A010,28.46853147
F3771G9,A010,28.46853147
F3771G9,A010002,18.3986014
F3771G9,A010003,18.3986014
F3771G9,A010CBM,2
F3771G9,A010PC,29
F3771G9,A010PCA,10
F3771G9,A014,4
F3771G9,A062,1.5
F3771G9,A122VD,1
F3771G9,A179,2
F3771G9,A210,28
F3796G3,0100AA,1.5
F3796G3,0100SSF,4
F3796G3,0404,93.4
F3796G3,0404,93.4
F3796G3,0512,0.5
F3796G3,0701001,2
F3796G3,0702,2
F3796G3,0703,4
F3796G3,0918001,41.5
F3796G3,0961001,38
F3796G3,0962001,20
F3796G3,0965001,2
F3796G3,0968001,29
F3796G3,1121001,30
F3796G3,1302,71.5
F3796G3,1302,71.5
F3796G3,1303,250
F3796G3,1303,250
F3796G3,1305,16
F3796G3,A010,43
F3796G3,A010PC,0.5
F3796G4,0100AA,1.5
F3796G4,0404,11
F3796G4,0531,7.8
F3796G4,0531LL,10.2
F3796G4,0623LL,9
F3796G4,0706,67.5
F3796G4,0706LL,9
F3796G4,0972,19
F3796G4,0976,39
F3796G4,1503,9.4
F3796G4,1503LL,3.8
F3796G4,1604,5
F3796G4,1604LL,6.8
F3796G4,1604LL,6.8
F3796G4,1625,10.52941176
F3796G4,1625LL,63.67647059
F3796G4,1625LL,63.67647059
F3796G4,1625VDS,10.52941176
F3796G4,A042,11.11764706
F3796G4,A042LL,67.17647059
F3796G4,A042LL,67.17647059
F3796G4,A042VDS,11.11764706
F3858G10,0024,10
F3858G10,0026,1
F3858G10,A010,12
F3858G10,A010PC,9
F3858G10,A210,2
F3858G8,0010,2
F3858G8,0017GSE,1
F3858G8,0017REQ,2.1
F3858G8,0024,21.2
F3858G8,0024001,5.2
F3858G8,0124BRE,1
F3858G8,0124PSE,3
F3858G8,0401,8
F3858G8,0414,1
F3858G8,0414CZE,2
F3858G8,0416,28
F3858G8,0445,46.82
F3858G8,0445001,18.1
F3858G8,0463,27
F3858G8,0471,47
F3858G8,0637,37.3
F3858G8,0637001,8.9
F3858G8,0953,11
F3858G8,0987,2
