"","id_project","id_req","id_frame","id_task","desc_frameFam","num_estimate","num_estDur","num_actDur","num_logError"
"1","F7464G7","CR3B","91E","0010","9/1A-H",26.0916384005482,27,1,3.26161489520483
"2","F6835G5","CR3B","91E","0010","9/1A-H",26.0916384005482,27,2,2.56846771464489
"4","F6051G7","CR3B","61B","0010","6/1A-C",26.0916384005482,27,128,-1.59041536871478
"7","F7464G1","CR3B","91E","0010","9/1A-H",26.0916384005482,27,1,3.26161489520483
"10","F7381G4","CR3B","61B","0010","6/1A-C",26.0916384005482,27,1,3.26161489520483
"12","F6835G4","CR3B","91E","0010","9/1A-H",26.0916384005482,27,2,2.56846771464489
"13","F7381G3","CR3B","61B","0010","6/1A-C",26.0916384005482,27,2,2.56846771464489
"15","F7464G6","CR3B","91E","0010","9/1A-H",26.0916384005482,27,1,3.26161489520483
"16","F7000G8","CR3B","71EA","0010","7/1A-H",26.0916384005482,27,1,3.26161489520483
"19","F4979G9","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"20","F7313G20","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"22","F6971G17","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,374,-2.66372684614533
"23","F6643G23","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"24","F6122G10","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,20,0.264796677715207
"25","F7444G3","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"26","F7308G1","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,252,-2.26890013624223
"27","F7006G47","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"28","F6971G13","CR3L","7FA.03","0010","7/1FA",26.0633197230873,24,1,3.2605289512692
"29","F7006G42","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,93,-1.27207054188406
"30","F7392G1","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"31","F7313G21","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"32","F6669G2","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"33","F7006G45","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"35","F6971G16","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,307,-2.466318796318
"36","F6315G2","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"41","F6980G5","CR3L","7FA.01","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"43","F7006G49","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"44","F6836G7","CR3L","7FA.03","0010","7/1FA",26.0633197230873,10,277,-2.36348855491814
"46","F6791G8","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,2,2.56738177070925
"47","F7308G3","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,31,-0.173458253215949
"49","F7131G10","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"54","F5786G10","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"56","F6643G21","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"58","F6669G1","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"62","F6643G25","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"63","F6643G19","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"65","F6980G3","CR3L","7FA.01","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"67","F6643G22","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"68","F5786G9","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"70","F6156G14","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,5,1.6510910388351
"71","F7448G4","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"72","F6643G24","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"74","F7444G4","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,4,1.87423459014931
"75","F7336G2","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,3,2.16191666260109
"76","F6122G8","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"77","F6179G13","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"82","F6643G20","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"83","F6980G7","CR3L","7FA.01","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"85","F6018G5","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"94","F7392G2","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"98","F7006G48","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"101","F6291G21","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,2,2.56738177070925
"104","F6156G13","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,39,-0.403032694860449
"105","F6761G2","CR3L","61B","0010","6/1A-C",26.0633197230873,27,1,3.2605289512692
"106","F7006G52","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"108","F5786G8","CR3L","7FA.04","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"109","F7313G14","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"111","F6836G9","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,7,1.31461880221388
"112","F4979G11","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"113","F6892G4","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"114","F6820G9","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"118","F6121G6","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"121","F5772G14","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"122","F6632G3","CR3L","7FA.03","0010","7/1FA",26.0633197230873,27,15,0.552478750166987
"123","F6980G6","CR3L","7FA.01","0010","7/1FA",26.0633197230873,27,1,3.2605289512692
"124","F6370G15","CR3Q","9FA.03","0010","9/1FA",26.0350010456263,27,1,3.25944182677719
"126","F6881G1","CR3Q","9FA.03","0010","9/1FA",26.0350010456263,27,1,3.25944182677719
"127","F7443G2","CR3Q","9FA.03","0010","9/1FA",26.0350010456263,27,1,3.25944182677719
"129","F6337G7","CR3Q","9FA.03","0010","9/1FA",26.0350010456263,27,1,3.25944182677719
"130","F6951G2","CR3Q","9FA.03","0010","9/1FA",26.0350010456263,27,3,2.16082953810908
"131","F7114G2","CR3Q","9FA.03","0010","9/1FA",26.0350010456263,27,304,-2.45758587462903
"133","F7224G9","FA1A","9FA.03","0010","9/1FA",26.0066823681654,27,15,0.550303318056999
"134","F7063G2","FA1A","91E","0010","9/1A-H",26.0066823681654,27,1,3.25835351915921
"135","F7010G19","FA1A","7FA.03","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"136","F7044G4","FA1A","61B","0010","6/1A-C",26.0066823681654,27,66,-0.931301222867217
"137","F6973G2","FA1A","91E","0010","9/1A-H",26.0066823681654,27,3,2.1597412304911
"138","F7394G1","FA1A","6FA.01","0010","6/1FA",26.0066823681654,27,1,3.25835351915921
"139","F3411G3","FA1A","61B","0010","6/1A-C",26.0066823681654,27,1,3.25835351915921
"140","F7044G3","FA1A","61B","0010","6/1A-C",26.0066823681654,27,288,-2.40460696097674
"141","F7016G8","FA1A","7FA.01","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"142","F7224G8","FA1A","9FA.03","0010","9/1FA",26.0066823681654,27,1,3.25835351915921
"143","F6914G4","FA1A","6FA.01","0010","6/1FA",26.0066823681654,27,1,3.25835351915921
"145","F7081G2","FA1A","91E","0010","9/1A-H",26.0066823681654,27,1,3.25835351915921
"146","F3411G4","FA1A","61B","0010","6/1A-C",26.0066823681654,27,1,3.25835351915921
"147","F7080G4","FA1A","91E","0010","9/1A-H",26.0066823681654,27,2,2.56520633859926
"148","F6779G3","FA1A","91E","0010","9/1A-H",26.0066823681654,27,2,2.56520633859926
"149","F6753G1","FA1A","7FA.03","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"151","F6971G11","FA1A","7FA.03","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"152","F6971G15","FA1A","7FA.03","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"153","F6953G2","FA1A","91E","0010","9/1A-H",26.0066823681654,27,3,2.1597412304911
"154","F3411G7","FA1A","61B","0010","6/1A-C",26.0066823681654,5,1,3.25835351915921
"156","F6562G1","FA1A","91E","0010","9/1A-H",26.0066823681654,27,2,2.56520633859926
"157","F7337G2","FA1A","61B","0010","6/1A-C",26.0066823681654,27,5,1.64891560672511
"158","F7035G2","FA1A","91E","0010","9/1A-H",26.0066823681654,27,3,2.1597412304911
"159","F7010G20","FA1A","7FA.03","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"162","F7080G7","FA1A","91E","0010","9/1A-H",26.0066823681654,27,1,3.25835351915921
"163","F6562G1","FA1A","91EC","0010","9/1A-H",26.0066823681654,27,2,2.56520633859926
"164","F7080G2","FA1A","91E","0010","9/1A-H",26.0066823681654,27,1,3.25835351915921
"165","F7186G3","FA1A","61B","0010","6/1A-C",26.0066823681654,27,6,1.46659404993115
"166","F7257G8","FA1A","9FA.03","0010","9/1FA",26.0066823681654,27,98,-1.32661395951136
"167","F7081G4","FA1A","91E","0010","9/1A-H",26.0066823681654,27,2,2.56520633859926
"168","F5654G3","FA1A","7FA.03","0010","7/1FA",26.0066823681654,27,1,3.25835351915921
"169","F7105G3","FA1A","91E","0010","9/1A-H",26.0066823681654,10,2,2.56520633859926
"170","F7224G7","FA1A","9FA.03","0010","9/1FA",26.0066823681654,27,1,3.25835351915921
"172","F7348G1","FA1D","6FA.01","0010","6/1FA",25.9783636907045,27,1,3.25726402583722
"173","F7348G2","FA1D","6FA.01","0010","6/1FA",25.9783636907045,25,1,3.25726402583722
"174","F7393G5","FA1J","51P","0010","5/1A-RN",25.9500450132435,26,73,-1.0342860969236
"175","F7393G7","FA1J","51P","0010","5/1A-RN",25.9500450132435,27,185,-1.96418248085354
"176","F7393G1","FA1J","51P","0010","5/1A-RN",25.9500450132435,27,380,-2.68399790849564
"177","F7393G6","FA1J","51P","0010","5/1A-RN",25.9500450132435,27,80,-1.12585329044909
