id_project,desc_state
F4887G3,Complete
F4887G3,Complete
F4887G4,Active
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4899G6,Complete
F4902G13,Active
F4902G13,Active
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4927G3,Cancel
F4933G4,Complete
F4938G2,Active
F4938G2,Active
F4940G4,Complete
F4940G4,Complete
F4940G4,Complete
F4940G4,Complete
F4940G4,Complete
F4940G5,Complete
F4940G5,Complete
F4940G5,Complete
F4940G5,Complete
F4940G5,Complete
F4959G3,Complete
F4959G3,Complete
F4979G10,Complete
F4979G10,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G11,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4979G9,Complete
F4999G10,Active
F4999G10,Active
F4999G10,Active
F4999G10,Active
F4999G10,Active
F4999G10,Active
F4999G10,Active
F4999G11,Active
F4999G11,Active
F4999G11,Active
F4999G11,Active
F4999G8,Complete
F4999G8,Complete
F4999G9,Complete
F4999G9,Complete
F4999G9,Complete
F4999G9,Complete
F4999G9,Complete
F5001G7,Complete
F5001G7,Complete
F5001G7,Complete
F5001G8,Complete
F5001G8,Complete
F5001G8,Complete
F5001G9,Active
F5016G3,Complete
F5016G3,Complete
