id_task
-
(New WBS)
(New WBS)-1
0000
0001
0002
0003
0005
0006
00063CG
00063CR
0007
0009
000EC
000GC
000IL
000SD
000TD
0010
0011
0012
0013
0014
0015
0016
0016CBE
0016EBE
0016FBE
0016KOE
0016MBE
0016PBE
0016QCE
0017
0017001E
0017002E
0017003E
0017004E
0017005E
0017008E
0017ABE
0017ABEA
0017ACE
0017ACEA
0017AHE
0017AHEA
0017AJE
0017AJEA
0017AME
0017AMEA
0017AOE
0017AQE
0017AQEA
0017ASE
0017ASEA
0017AVE
0017AVEA
0017AWEA
0017AYEA
0017BAE
0017BAEA
0017BLE
0017BLEA
0017BQE
0017BQEA
0017BSE
0017BSEA
0017BTE
0017BTEA
0017BTEB
0017BTEC
0017CAE
0017CAEA
0017CBE
0017CBEA
0017CBEB
0017CBEC
0017CCE
0017CCEA
0017CCEB
0017CDE
0017CDEA
0017CDEB
0017CDEC
0017CEE
0017CEEA
0017CEEB
0017CEEE
0017CFE
0017CFEA
0017CFEB
0017CFO
0017CGE
0017CGEA
0017CHE
0017CHEA
0017CHEB
0017CIE
0017CIEA
0017CJE
0017CJEA
0017CKE
0017CKEA
0017CKEB
0017CLE
0017CLEA
0017CLEB
0017CME
0017CMEA
0017CNE
0017CNEA
0017COE
0017COEA
0017CPE
0017CPEA
0017CQE
0017CQEA
0017CRE
0017CREA
0017CSE
0017CSEA
0017CTEA
0017CUE
0017CUEA
0017CWE
0017CWEA
0017CXE
0017CXEA
0017CZEA
0017D1E
0017DBE
0017DBEA
0017DCE
0017DCEA
0017DFE
0017DHE
0017DKE
0017DKEA
0017DRO
0017DT1
0017DXE
0017DXEA
0017DZE
0017DZEA
0017E
0017ECE
0017ECEA
0017EFEA
0017EGE
0017EGEA
0017EOE
0017EOEA
0017EQEA
0017EZE
0017EZEA
0017FIE
0017FIEA
0017FLNA
0017FN
0017FNL
0017FNLA
0017FQM
0017GQE
0017GQEA
0017GSE
0017GSEA
0017GZE
0017GZEA
0017HAE
0017HAEA
0017HAEB
0017HBEA
0017HCE
0017HCEA
0017HDE
0017HDEA
0017HEE
0017HEEA
0017HFE
0017HFEA
0017HHE
0017HIE
0017HIEA
0017HJE
0017HKE
0017HLE
0017HLEA
0017HME
0017HMEA
0017HNE
0017HNEA
0017HOEA
0017HPE
0017HPEA
0017HRE
0017HXE
0017IIEA
0017IJE
0017IKE
0017ILE
0017ILEA
0017JBEA
0017JQE
0017JQEA
0017KFE
0017LAE
0017LAEA
0017LAEB
0017LGE
0017LHEA
0017NPE
0017NPEA
0017OMD
0017OMD01ISS
0017OMD02ISS
0017OMDA
0017OMO
0017OMO01ISS
0017OMOR
0017OMOR01ISS
0017PAE
0017PAEA
0017PD1E
0017PDT1
0017PIE
0017PIEA
0017PSE
0017PSEA
0017PVM
0017REQ
0017REQA
0017REQB
0017REQC
0017REU
0017REUA
0017REV
0017RGAA
0017S001
0017S002
0017S003
0017S004
0017S005
0017S006
0017S007
0017S008
0017SSE
0017SSEA
0017TOC
0017TOCA
0017TOCB
0017TOCC
0017VCEA
0017VDEA
0017VFEA
0017VGEA
0017VIE
0017VIEA
0017VMEA
0017VT
0017VUE
0017WAE
0017WAEA
0017WBEA
0017WCEA
0017WDEA
0017X1
0017X2
0018
0018VT
0019
0020
0020013E
0020ACE
0020ACEA
0020ADE
0020ADEA
0020AEE
0020AFE
0020AFEA
0020AGE
0020AGEA
0020AHEA
0020AIE
0020AIEA
0020AJE
0020AJEA
0020AOE
0020AOEA
0020APE
0020APEA
0020AQE
0020AQEA
0020ATE
0020ATEA
0020AVE
0020AVEA
0020AXE
0020AYE
0020BAE
0020BCE
0020BCEA
0020BDE
0020BDEA
0020BEE
0020BEEA
0020BIE
0020BJE
0020BJEA
0020BKE
0020BME
0020BMEA
0020BNXA
0020BQE
0020BQEA
0020CDE
0020CDEA
0020CKEA
0020COE
0020DDE
0020DDEA
0020DME
0020DMEA
0020DNE
0020DOE
0020DOEA
0020DPE
0020DPEA
0020DQE
0020DQEA
0020EEEA
0020ETE
0020ETEA
0020FGE
0020FGEA
0020FHE
0020PE
0020S
0020S001
0020TAE
0021
0021EDP
0021EDV
0021EMP
0021EMV
0021ESP
0021EXL
0021MDP
0021MDV
0021MFL
0021MMP
0021MMV
0021MSP
0021RTN
0022
0022BEC2
0022CPT
0022CPT01ISS
0022CPTA
0022DIF
0022DIF01ISS
0022DT1
0022INIT
0022INIT01ISS
0023
0024
0024002E
002401E
0024E
0024PR
0024PRA
0024PRE
