"","id_project","id_req","id_frame","id_task","desc_frameFam","num_estimate","num_estDur","num_actDur","num_logError"
"1","F6051G7","CR3B","61B","0010","6/1A-C",30.1140188508597,27,128,-1.44703945803571
"2","F7381G4","CR3B","61B","0010","6/1A-C",30.1140188508597,27,1,3.40499080588391
"3","F7381G3","CR3B","61B","0010","6/1A-C",30.1140188508597,27,2,2.71184362532397
"5","F7000G8","CR3B","71EA","0010","7/1A-H",28.1024395301759,27,1,3.3358563885919
"6","F7464G7","CR3B","91E","0010","9/1A-H",24.0792808888084,27,1,3.18135175657312
"8","F7464G1","CR3B","91E","0010","9/1A-H",24.0792808888084,27,1,3.18135175657312
"12","F6835G5","CR3B","91E","0010","9/1A-H",24.0792808888084,27,2,2.48820457601317
"14","F6835G4","CR3B","91E","0010","9/1A-H",24.0792808888084,27,2,2.48820457601317
"16","F7464G6","CR3B","91E","0010","9/1A-H",24.0792808888084,27,1,3.18135175657312
"19","F6761G2","CR3L","61B","0010","6/1A-C",30.0846315160616,27,1,3.40401446050229
"20","F6980G6","CR3L","7FA.01","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"21","F6980G3","CR3L","7FA.01","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"22","F6980G7","CR3L","7FA.01","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"23","F6980G5","CR3L","7FA.01","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"24","F6643G25","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"25","F6971G16","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,307,-2.46638965888846
"26","F7392G1","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"27","F7006G42","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,93,-1.27214140445452
"28","F6971G13","CR3L","7FA.03","0010","7/1FA",26.061472874694,24,1,3.26045808869874
"30","F7131G10","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"31","F7313G21","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"32","F6643G23","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"33","F7308G3","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,31,-0.173529115786408
"35","F6791G8","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,2,2.56731090813879
"36","F7006G48","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"41","F6971G17","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,374,-2.66379770871579
"44","F6122G10","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,20,0.264725815144747
"46","F6643G24","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"47","F6836G7","CR3L","7FA.03","0010","7/1FA",26.061472874694,10,277,-2.3635594174886
"48","F6315G2","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"49","F7308G1","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,252,-2.26897099881269
"52","F6836G9","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,7,1.31454793964342
"53","F7006G47","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"55","F7444G3","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"58","F7392G2","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"59","F6018G5","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"62","F7336G2","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,3,2.16184580003063
"64","F6291G21","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,2,2.56731090813879
"66","F6156G14","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,5,1.65102017626464
"68","F7006G45","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"70","F7448G4","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"72","F6643G19","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"73","F6643G22","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"75","F6632G3","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,15,0.552407887596528
"77","F6122G8","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"78","F6121G6","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"79","F6820G9","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"82","F7006G49","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"83","F7313G14","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"89","F6156G13","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,39,-0.403103557430908
"91","F5772G14","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"93","F7006G52","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"94","F6892G4","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"96","F6643G20","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"99","F4979G11","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"104","F6643G21","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"107","F4979G9","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"109","F7444G4","CR3L","7FA.03","0010","7/1FA",26.061472874694,27,4,1.87416372757885
"112","F5786G8","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"113","F5786G9","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"114","F6669G1","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"116","F7313G20","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"117","F5786G10","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"119","F6669G2","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"122","F6179G13","CR3L","7FA.04","0010","7/1FA",26.061472874694,27,1,3.26045808869874
"124","F6370G15","CR3Q","9FA.03","0010","9/1FA",22.0089268985282,27,1,3.09144813917162
"125","F6337G7","CR3Q","9FA.03","0010","9/1FA",22.0089268985282,27,1,3.09144813917162
"128","F7114G2","CR3Q","9FA.03","0010","9/1FA",22.0089268985282,27,304,-2.62557956223461
"129","F7443G2","CR3Q","9FA.03","0010","9/1FA",22.0089268985282,27,1,3.09144813917162
"131","F6951G2","CR3Q","9FA.03","0010","9/1FA",22.0089268985282,27,3,1.99283585050351
"132","F6881G1","CR3Q","9FA.03","0010","9/1FA",22.0089268985282,27,1,3.09144813917162
"133","F7186G3","FA1A","61B","0010","6/1A-C",30.0258568464652,27,6,1.61029943609817
"134","F7044G3","FA1A","61B","0010","6/1A-C",30.0258568464652,27,288,-2.26090157480973
"135","F3411G4","FA1A","61B","0010","6/1A-C",30.0258568464652,27,1,3.40205890532622
"136","F3411G3","FA1A","61B","0010","6/1A-C",30.0258568464652,27,1,3.40205890532622
"137","F7337G2","FA1A","61B","0010","6/1A-C",30.0258568464652,27,5,1.79262099289212
"138","F7044G4","FA1A","61B","0010","6/1A-C",30.0258568464652,27,66,-0.787595836700205
"139","F3411G7","FA1A","61B","0010","6/1A-C",30.0258568464652,5,1,3.40205890532622
"140","F6914G4","FA1A","6FA.01","0010","6/1FA",29.0200671861233,27,1,3.36798756261957
"141","F7394G1","FA1A","6FA.01","0010","6/1FA",29.0200671861233,27,1,3.36798756261957
"142","F7016G8","FA1A","7FA.01","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"145","F6753G1","FA1A","7FA.03","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"146","F7010G19","FA1A","7FA.03","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"147","F6971G11","FA1A","7FA.03","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"148","F7010G20","FA1A","7FA.03","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"150","F5654G3","FA1A","7FA.03","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"151","F6971G15","FA1A","7FA.03","0010","7/1FA",26.0026982050976,27,1,3.25820030975615
"153","F7080G4","FA1A","91E","0010","9/1A-H",23.9911188844138,27,2,2.48453653482115
"154","F6973G2","FA1A","91E","0010","9/1A-H",23.9911188844138,27,3,2.07907142671298
"155","F7063G2","FA1A","91E","0010","9/1A-H",23.9911188844138,27,1,3.17768371538109
"156","F7105G3","FA1A","91E","0010","9/1A-H",23.9911188844138,10,2,2.48453653482115
"157","F6953G2","FA1A","91E","0010","9/1A-H",23.9911188844138,27,3,2.07907142671298
"158","F6779G3","FA1A","91E","0010","9/1A-H",23.9911188844138,27,2,2.48453653482115
"159","F7080G2","FA1A","91E","0010","9/1A-H",23.9911188844138,27,1,3.17768371538109
"160","F7081G2","FA1A","91E","0010","9/1A-H",23.9911188844138,27,1,3.17768371538109
"161","F7081G4","FA1A","91E","0010","9/1A-H",23.9911188844138,27,2,2.48453653482115
"162","F7035G2","FA1A","91E","0010","9/1A-H",23.9911188844138,27,3,2.07907142671298
"164","F7080G7","FA1A","91E","0010","9/1A-H",23.9911188844138,27,1,3.17768371538109
"165","F6562G1","FA1A","91E","0010","9/1A-H",23.9911188844138,27,2,2.48453653482115
"167","F6562G1","FA1A","91EC","0010","9/1A-H",23.9911188844138,27,2,2.48453653482115
"168","F7224G8","FA1A","9FA.03","0010","9/1FA",21.97953956373,27,1,3.0901120007911
"169","F7224G9","FA1A","9FA.03","0010","9/1FA",21.97953956373,27,15,0.382061799688887
"170","F7224G7","FA1A","9FA.03","0010","9/1FA",21.97953956373,27,1,3.0901120007911
"171","F7257G8","FA1A","9FA.03","0010","9/1FA",21.97953956373,27,98,-1.49485547787947
"172","F7348G1","FA1D","6FA.01","0010","6/1FA",28.9906798513251,27,1,3.36697439389436
"173","F7348G2","FA1D","6FA.01","0010","6/1FA",28.9906798513251,25,1,3.36697439389436
"174","F7393G6","FA1J","51P","0010","5/1A-RN",31.9786614975526,27,80,-0.916957782504446
"175","F7393G1","FA1J","51P","0010","5/1A-RN",31.9786614975526,27,380,-2.475102400551
"176","F7393G5","FA1J","51P","0010","5/1A-RN",31.9786614975526,26,73,-0.825390588978956
"180","F7393G2","FA1J","51P","0010","5/1A-RN",31.9786614975526,27,91,-1.04579065434741
"181","F7393G7","FA1J","51P","0010","5/1A-RN",31.9786614975526,27,185,-1.75528697290889
"182","F7393G3","FA1J","51PA","0010","5/1A-RN",31.9786614975526,27,198,-1.8231981785251
"183","F7393G6","FA1J","61B","0010","6/1A-C",29.9670821768689,27,80,-0.981927116214087
"184","F7393G4","FA1J","61B","0010","6/1A-C",29.9670821768689,27,12,0.915192868671794
"185","F7396G4","FA1L","61B","0010","6/1A-C",29.9376948420707,27,287,-2.26036383231503
"187","F7396G5","FA1L","61B","0010","6/1A-C",29.9376948420707,27,1,3.39911838344459
"188","F7396G6","FA1L","61B","0010","6/1A-C",29.9376948420707,27,1,3.39911838344459
"193","F7396G3","FA1L","61B","0010","6/1A-C",29.9376948420707,27,1,3.39911838344459
"194","F7396G1","FA1L","91E","0010","9/1A-H",23.9029568800193,27,1,3.17400217011418
"197","F6688G7","FA1P","61B","0010","6/1A-C",29.9083075072725,27,161,-1.68326808012646
"201","F6252G4","FA1P","6FA.01","0010","6/1FA",28.9025178469306,27,1,3.36392871405458
"203","F6791G7","FA1P","7FA.03","0010","7/1FA",25.8851488659049,27,1,3.25366940138639
"206","F6858G16","FA1P","9FA.03","0010","9/1FA",21.8619902245373,27,1,3.08474952272752
"207","F5704G11","FA1P","9FA.03","0010","9/1FA",21.8619902245373,27,1,3.08474952272752
"208","F6488G1","FA1S","61B","0010","6/1A-C",29.8789201724743,27,2,2.70400604024557
"209","F6738G2","FA1S","61B","0010","6/1A-C",29.8789201724743,27,1,3.39715322080551
"210","F7129G3","FA1S","61B","0010","6/1A-C",29.8789201724743,27,4,2.01085885968562
"211","F5979G4","FA1S","91E","0010","9/1A-H",23.844182210423,27,1,3.17154025510096
"212","F7394G1","FA1U","6FA.01","0010","6/1FA",28.8437431773343,27,1,3.36189309516431
"213","F6771G1","FA1U","6FA.03","0010","6/1FA",28.8437431773343,27,1,3.36189309516431
"215","F6760G2","FA1U","6FA.03","0010","6/1FA",28.8437431773343,27,2,2.66874591460436
"216","F7089G4","FA1U","6FA.03","0010","6/1FA",28.8437431773343,21,1,3.36189309516431
"217","F7324G1","FA1U","7FA.01","0010","7/1FA",25.8263741963086,27,22,0.160353772092617
"222","F6980G6","FA1U","7FA.01","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"223","F6980G7","FA1U","7FA.01","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"226","F6980G5","FA1U","7FA.01","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"227","F6980G3","FA1U","7FA.01","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"228","F7006G41","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,51,-0.680429407273393
"229","F7017G11","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"230","F5720G4","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"231","F6747G16","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"233","F5959G14","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"234","F7006G42","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,93,-1.28120326770232
"235","F7075G8","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"237","F7236G6","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"238","F6830G17","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,9,1.05417164811471
"240","F6002G13","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"241","F7006G40","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"242","F7392G1","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"243","F5682G13","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,8,1.1719546837711
"244","F6744G10","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,34,-0.274964299165228
"246","F7017G10","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,39,-0.412165420678713
"247","F6348G17","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,19,0.306957246284493
"248","F6971G14","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"250","F6018G8","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"251","F7131G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"252","F5682G12","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,18,0.361024467554769
"253","F6791G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"254","F7288G3","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"255","F4979G11","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"257","F6971G16","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,307,-2.47545152213626
"258","F6685G6","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"259","F7288G2","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"260","F7448G2","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,2,2.55824904489099
"261","F7324G5","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,3,2.15278393678282
"262","F7405G3","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"264","F6971G17","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,374,-2.6728595719636
"266","F6646G2","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,2,2.55824904489099
"267","F6018G9","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"271","F7075G10","FA1U","7FA.03","0010","7/1FA",25.8263741963086,15,1,3.25139622545093
"273","F5658G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"274","F6791G9","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"277","F6266G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"278","F6348G18","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,168,-1.87256775395233
"282","F6843G5","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"287","F7444G2","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"289","F6156G13","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,39,-0.412165420678713
"290","F5998G10","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"291","F7324G6","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"292","F6747G14","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"293","F4275G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"301","F6696G2","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"302","F7448G3","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,2,2.55824904489099
"307","F6156G14","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,5,1.64195831301683
"310","F6018G6","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"311","F7324G4","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,114,-1.48480222294356
"317","F5786G13","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,3,2.15278393678282
"320","F6175G17","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"322","F6200G13","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"323","F6901G9","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"326","F5530G14","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,144,-1.71841707412507
"328","F6744G13","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"333","F4979G9","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"334","F6836G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,10,277,-2.37262128073641
"335","F7392G2","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"336","F6791G8","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,2,2.55824904489099
"339","F7075G9","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"340","F5748G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,244,-2.24577199984227
"342","F7236G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"345","F6836G9","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,7,1.30548607639562
"351","F7006G43","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"361","F7405G4","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
"368","F6892G5","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,2,2.55824904489099
"374","F7075G7","FA1U","7FA.03","0010","7/1FA",25.8263741963086,27,1,3.25139622545093
